"UF";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Situação";"Votação";"% Válidos";
"";"";"5012";"ANA PAULA MORAIS DE HOLANDA";"PSOL";"PSOL";"Não eleito";"15";"0,00"
"";"";"1733";"MARILEIDE SERAFIM DE ANDRADE";"PSL";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"5";"0,00"
"";"";"1399";"RAIZZA MARIA CARDOSO DE AZEVEDO";"PT";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"5";"0,00"
"";"";"";"";"";"";"";"368.332";""
"";"";"";"";"";"";"";"368.332";""
"";"";"";"";"";"";"";"368.332";""
"AL";"Deputado Federal";"7777";"JOÃO HENRIQUE HOLANDA CALDAS";"SD";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Eleito por QP";"135.929";"9,82"
"";"";"1515";"MARX BELTRÃO LIMA SIQUEIRA";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Eleito por QP";"123.317";"8,91"
"";"";"4545";"PEDRO TORRES BRANDÃO VILELA";"PSDB";"PSDB / PRB";"Eleito por QP";"119.582";"8,64"
"";"";"1111";"ARTHUR CESAR PEREIRA DE LIRA";"PP";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Eleito por QP";"98.231";"7,09"
"";"";"1212";"RONALDO AUGUSTO LESSA SANTOS";"PDT";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Eleito por QP";"88.125";"6,36"
"";"";"9090";"GIVALDO DE SÁ GOUVEIA CARIMBÃO";"PROS";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Eleito por QP";"82.582";"5,96"
"";"";"2266";"MAURÍCIO QUINTELLA MALTA LESSA";"PR";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Eleito por QP";"76.706";"5,54"
"";"";"2800";"JOSE CICERO SOARES DE ALMEIDA";"PRTB";"PRTB / PPL / PMN";"Eleito por QP";"64.435";"4,65"
"";"";"1313";"PAULO FERNANDO DOS SANTOS";"PT";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Eleito por média";"53.284";"3,85"
"";"";"4444";"NIVALDO FERREIRA DE ALBUQUERQUE NETO";"PRP";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"66.910";"4,83"
"";"";"2888";"AUDIVAL AMÉLIO DA SILVA NETO";"PRTB";"PRTB / PPL / PMN";"Suplente";"58.095";"4,20"
"";"";"4500";"ROGERIO AUTO TEOFILO";"PSDB";"PSDB / PRB";"Suplente";"47.097";"3,40"
"";"";"7000";"ROSEANE CAVALCANTE DE FREITAS";"PT do B";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"27.116";"1,96"
"";"";"2877";"ADERVAL ROCHA TENÓRIO";"PRTB";"PRTB / PPL / PMN";"Suplente";"19.392";"1,40"
"";"";"1178";"MARIA FATIMA GALINA FORTES FERREIRA SANTIAGO";"PP";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"15.384";"1,11"
"";"";"1510";"HEMERSON CASADO GAMA";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"15.102";"1,09"
"";"";"1599";"FERNANDO ANTÔNIO MACEDO HOLANDA";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"14.553";"1,05"
"";"";"2323";"JOSÉ REGIS BARROS CAVALCANTE";"PPS";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"13.986";"1,01"
"";"";"2812";"JOSE BARBOSA LIMEIRA";"PRTB";"PRTB / PPL / PMN";"Suplente";"12.194";"0,88"
"";"";"1533";"CARLOS EUGÊNIO LESSA DE AZEVEDO SAMPAIO";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"10.307";"0,74"
"";"";"1122";"JOSE JULIO DE ALMEIDA FILHO";"PP";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"8.596";"0,62"
"";"";"4566";"JORGE VI LAMENHA LINS";"PSDB";"PSDB / PRB";"Suplente";"8.515";"0,61"
"";"";"3333";"ANTONIO CARLOS AZEVEDO LESSA";"PMN";"PRTB / PPL / PMN";"Suplente";"7.464";"0,54"
"";"";"2870";"JOSIVAL FERREIRA DE LIMA";"PRTB";"PRTB / PPL / PMN";"Suplente";"7.188";"0,52"
"";"";"1444";"IVON BERTO TIBURCIO DE LIMA";"PTB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"6.366";"0,46"
"";"";"2311";"ANTONIO NELSON OLIVEIRA DE AZEVEDO";"PPS";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"5.836";"0,42"
"";"";"4555";"MARCOS ANTONIO FERREIRA NUNES";"PSDB";"PSDB / PRB";"Suplente";"5.280";"0,38"
"";"";"1414";"ANTONIO CARLOS RAMOS";"PTB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"5.027";"0,36"
"";"";"1556";"FRANCISCO DE SOUZA IRMÃO";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"4.798";"0,35"
"";"";"2838";"LUIZ ALBERTO ALVES TEIXEIRA";"PRTB";"PRTB / PPL / PMN";"Suplente";"4.568";"0,33"
"";"";"2333";"LUCAS COSTA MOREIRA CESAR BARBOSA";"PPS";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"4.394";"0,32"
"";"";"4599";"VANILDO RUFINO DOS SANTOS";"PSDB";"PSDB / PRB";"Suplente";"4.170";"0,30"
"";"";"1580";"PEDRO RODRIGUES GAIA NETO";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"3.864";"0,28"
"";"";"1500";"ALEXANDRE MURTA DE ARAÚJO ROCHA";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"3.783";"0,27"
"";"";"2855";"ILDO RAFAEL DE VASCONCELOS";"PRTB";"PRTB / PPL / PMN";"Suplente";"3.782";"0,27"
"";"";"1112";"WELLINGTON RODRIGUES FRAGOSO";"PP";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"3.517";"0,25"
"";"";"4567";"VENANCIO DOS ANJOS TELES";"PSDB";"PSDB / PRB";"Suplente";"3.354";"0,24"
"";"";"2880";"JAILTON SANTOS COSTA";"PRTB";"PRTB / PPL / PMN";"Suplente";"3.227";"0,23"
"";"";"1001";"ANTÔNIO LUIZ DA SILVA";"PRB";"PSDB / PRB";"Suplente";"3.194";"0,23"
"";"";"1077";"GESIEL ANTÔNIO DE OLIVEIRA";"PRB";"PSDB / PRB";"Suplente";"2.776";"0,20"
"";"";"5010";"VALBERTSON DE BRITO LYRA SANTOS";"PSOL";"PSOL / PSTU";"Não eleito";"2.573";"0,19"
"";"";"2828";"JOSE SALUSTIANO DOS SANTOS FILHO";"PRTB";"PRTB / PPL / PMN";"Suplente";"2.349";"0,17"
"";"";"2500";"JOSÉ FRANCISCO DE LIMA";"DEM";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"2.273";"0,16"
"";"";"1555";"JULIO CESAR MARTINS DE CERQUEIRA";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"2.190";"0,16"
"";"";"2505";"EDSON MAIA NOBRE DE ABREU";"DEM";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"1.901";"0,14"
"";"";"3633";"SEVERINO CORREIA CAVALCANTE";"PTC";"PTC";"Não eleito";"1.769";"0,13"
"";"";"1011";"ZEDEQUIAS ALVES RIBEIRO";"PRB";"PSDB / PRB";"Suplente";"1.768";"0,13"
"";"";"5000";"PAULO ROBERTO CHAGAS SANTOS";"PSOL";"PSOL / PSTU";"Não eleito";"1.755";"0,13"
"";"";"1616";"PAULO SÉRGIO DA SILVA FALCÃO";"PSTU";"PSOL / PSTU";"Não eleito";"1.752";"0,13"
"";"";"5500";"ROBERTO CARLOS TEIXEIRA GOMES";"PSD";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"1.685";"0,12"
"";"";"3131";"JAMISON RODRIGUES DA SILVA";"PHS";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"1.577";"0,11"
"";"";"2525";"MARCOS ANTÔNIO VIEIRA DA SILVA";"DEM";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"1.519";"0,11"
"";"";"2777";"ODILON TENORIO DA SILVA";"PSDC";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"1.159";"0,08"
"";"";"4512";"MARIA DE FATIMA BRASILEIRO DANYLO";"PSDB";"PSDB / PRB";"Suplente";"1.093";"0,08"
"";"";"1000";"THALES CAVALCANTE NOVAIS DE CASTRO";"PRB";"PSDB / PRB";"Suplente";"1.070";"0,08"
"";"";"5444";"SERGIO CABRAL BARBOSA";"PPL";"PRTB / PPL / PMN";"Suplente";"1.045";"0,08"
"";"";"5050";"JOSÉ JÚNIOR NASCIMENTO SILVA";"PSOL";"PSOL / PSTU";"Não eleito";"997";"0,07"
"";"";"2811";"ANTONIO JORGE GOMES";"PRTB";"PRTB / PPL / PMN";"Suplente";"978";"0,07"
"";"";"4377";"ROSIETE GOIS RAMOS";"PV";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"857";"0,06"
"";"";"2727";"ALISSON CARDOSO DA SILVA";"PSDC";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"839";"0,06"
"";"";"2014";"JOSÉ JERÔNIMO DE FARIAS NETO";"PSC";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"758";"0,05"
"";"";"4550";"ADISSON FLORENCIO DA SILVA CORREA";"PSDB";"PSDB / PRB";"Suplente";"740";"0,05"
"";"";"4000";"ALVARO FERREIRA GUIMARÃES FILHO";"PSB";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"734";"0,05"
"";"";"2555";"FLAVIO HENRIQUE CATÃO NOGUEIRA";"DEM";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"709";"0,05"
"";"";"4312";"MARIA APARECIDA GERMANO DOS SANTOS";"PV";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"680";"0,05"
"";"";"4099";"MARIA LIGIA MININ DE LINS";"PSB";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"662";"0,05"
"";"";"3311";"MARCELO ALVES DA SILVA";"PMN";"PRTB / PPL / PMN";"Suplente";"508";"0,04"
"";"";"4040";"PAULO ROBERTO NUNES CALAÇA";"PSB";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"483";"0,03"
"";"";"2850";"ROBERTO FREIRES DE ARAUJO";"PRTB";"PRTB / PPL / PMN";"Suplente";"427";"0,03"
"";"";"1022";"CLIUTON SANTOS";"PRB";"PSDB / PRB";"Suplente";"425";"0,03"
"";"";"4044";"IRIS DOS SANTOS MELO";"PSB";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"341";"0,02"
"";"";"2899";"CICERA MARIA DE OLIVEIRA";"PRTB";"PRTB / PPL / PMN";"Suplente";"333";"0,02"
"";"";"1512";"MARIA DE FÁTIMA DOS SANTOS";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"281";"0,02"
"";"";"4333";"CARLOS ALBERTO DA SILVA";"PV";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"271";"0,02"
"";"";"1551";"MÁRCIA CRISTINA MARCOLINO";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"261";"0,02"
"";"";"3644";"LUANDA ROSA COSTA LINS";"PTC";"PTC";"Não eleito";"211";"0,02"
"";"";"1033";"MARIA DO ROSÁRIO BARBOZA DA SILVA";"PRB";"PSDB / PRB";"Suplente";"206";"0,01"
"";"";"3300";"TACIANA CORREIA SILVA";"PMN";"PRTB / PPL / PMN";"Suplente";"186";"0,01"
"";"";"2833";"JOSE MARCOS DAS CHAGAS";"PRTB";"PRTB / PPL / PMN";"Suplente";"181";"0,01"
"";"";"7070";"CRISTIANE MARQUES SAMPAIO";"PT do B";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"173";"0,01"
"";"";"3656";"EDIERSON GOMES DA SILVA";"PTC";"PTC";"Não eleito";"149";"0,01"
"";"";"5001";"IRACI BATISTA DA SILVA";"PSOL";"PSOL / PSTU";"Não eleito";"145";"0,01"
"";"";"1516";"VANIA LUCIA SOUZA DA SILVA";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"119";"0,01"
"";"";"2845";"MARIA SILVANA RODRIGUES SOARES";"PRTB";"PRTB / PPL / PMN";"Suplente";"116";"0,01"
"";"";"5005";"MARIA DA GLÓRIA SANTOS OLIVEIRA";"PSOL";"PSOL / PSTU";"Não eleito";"109";"0,01"
"";"";"5578";"JOÃO JOSÉ PEREIRA DE LYRA";"PSD";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"102";"0,01"
"";"";"1052";"TEODORO CAVALCANTI DE MELO";"PRB";"PSDB / PRB";"Suplente";"85";"0,01"
"";"";"2299";"MEIRE ROSE NUNES ALVES";"PR";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"80";"0,01"
"";"";"4595";"VIVIANE JULIANE RAMOS DA SILVA";"PSDB";"PSDB / PRB";"Suplente";"72";"0,01"
"";"";"4589";"ANDREIA CHRISTINA DOS SANTOS VITAL";"PSDB";"PSDB / PRB";"Suplente";"63";"0,00"
"";"";"4553";"JOAO BATISTA DA SILVA";"PSDB";"PSDB / PRB";"Suplente";"61";"0,00"
"";"";"4505";"JESSYCA BEATRIZ PINTO FERREIRA";"PSDB";"PSDB / PRB";"Suplente";"54";"0,00"
"";"";"2356";"MARILIA DA SILVA SANTOS";"PPS";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"52";"0,00"
"";"";"3312";"SONIA MARIA TEIXEIRA SOARES";"PMN";"PRTB / PPL / PMN";"Suplente";"44";"0,00"
"";"";"1166";"AUDINEIDE SILVA CAVALCANTE";"PP";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"38";"0,00"
"";"";"2820";"JULIANA DOS SANTOS LIMA";"PRTB";"PRTB / PPL / PMN";"Suplente";"35";"0,00"
"";"";"2835";"PAULA CAVALCANTE AMELIO SILVA";"PRTB";"PRTB / PPL / PMN";"Suplente";"20";"0,00"
"";"";"2344";"POLYANNA KAROLYNE HONORATO TEIXEIRA";"PPS";"PP / PPS / PSDC / PRP / PR / PSL / PSB / SD / DEM";"Suplente";"18";"0,00"
"";"";"1560";"YONARA TENÓRIO TOLEDO";"PMDB";"PDT / PSC / PMDB / PV / PTB / PSD / PT do B / PROS / PC do B / PT / PHS";"Suplente";"13";"0,00"
"";"";"3636";"# POLYANA NOBRE DE LIMA";"PTC";"PTC";"Não eleito";"0";"0,00"
"";"";"";"";"";"";"";"1.283.120";""
"";"";"";"";"";"";"";"1.283.120";""
"";"";"";"";"";"";"";"1.283.120";""
"AM";"Deputado Federal";"4545";"ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO";"PSDB";"PROS / DEM / PSDB / PR / PTN / PSC / PT do B / PTC / PRTB / PEN / PV / PHS / PSL / PSD / SD";"Eleito por QP";"250.916";"15,13"
