"Seletores";"Cargo";"UF";"Qt VotosVálidos";"Qt Vagas  QE";"QE";"Legenda";"Qt VotosVálidos QP";"Qt VagasQP";"Qt VagasMédia";
"";"";"";"1.276.893";"8";"159.612";"PMDB / PSB / PRB / PTN / PEN / PSC";"494.349";"3";"0"
"";"";"";"1.276.893";"8";"159.612";"PT do B / PHS / PRTB";"13.220";"0";"0"
"";"";"";"1.276.893";"8";"159.612";"PP";"22.981";"0";"0"
"";"";"";"1.276.893";"8";"159.612";"PRP / PSL / PPL / PV";"19.338";"0";"0"
"";"";"";"1.276.893";"8";"159.612";"PSTU";"1.727";"0";"0"
"";"";"";"1.276.893";"8";"159.612";"PSOL";"5.844";"0";"0"
"";"";"";"1.276.893";"8";"159.612";"PSDB / DEM / PSD / SD / PPS / PMN";"264.920";"1";"1"
"Subtotal";"";"";"10.215.144";"64";"1.276.896";"";"1.276.893";"6";"2"
"";"";"MT";"1.454.612";"8";"181.826";"PHS / PMN";"10.347";"0";"0"
"";"";"";"1.454.612";"8";"181.826";"PSOL";"88.500";"0";"0"
"";"";"";"1.454.612";"8";"181.826";"PT do B";"3.229";"0";"0"
"";"";"";"1.454.612";"8";"181.826";"PC do B";"3.508";"0";"0"
"";"";"";"1.454.612";"8";"181.826";"PSD / PTC / PTN / PEN / PRTB / SD";"178.268";"0";"0"
"";"";"";"1.454.612";"8";"181.826";"PDT / PP / DEM / PSDB / PSB / PPS / PTB / PSC / PSL / PRB";"707.848";"3";"2"
"";"";"";"1.454.612";"8";"181.826";"PT / PMDB / PROS / PR";"462.912";"2";"1"
"Subtotal";"";"";"10.182.284";"56";"1.272.782";"";"1.454.612";"5";"3"
"";"";"PA";"3.756.049";"17";"220.944";"PV";"8.749";"0";"0"
"";"";"";"3.756.049";"17";"220.944";"PMDB / PT";"1.056.259";"4";"1"
"";"";"";"3.756.049";"17";"220.944";"PSDB / PSD / PSB / PP / PSC / PTB / PPS / PT do B / PTC";"1.416.400";"6";"1"
"";"";"";"3.756.049";"17";"220.944";"PCB";"1.031";"0";"0"
"";"";"";"3.756.049";"17";"220.944";"PTN";"1.427";"0";"0"
"";"";"";"3.756.049";"17";"220.944";"PR / DEM / PHS / PROS / PC do B / PSL / PDT / PPL";"668.804";"3";"0"
"";"";"";"3.756.049";"17";"220.944";"PRTB";"404";"0";"0"
"";"";"";"3.756.049";"17";"220.944";"PRB / SD";"347.324";"1";"0"
"";"";"";"3.756.049";"17";"220.944";"PMN / PRP / PEN";"23.884";"0";"0"
"";"";"";"3.756.049";"17";"220.944";"PSOL / PSTU";"231.767";"1";"0"
"Subtotal";"";"";"37.560.490";"170";"2.209.440";"";"3.756.049";"15";"2"
"";"";"PB";"1.936.819";"12";"161.402";"PSDB / PEN / PR / PTB / PSD / SD / PMN / PPS / PT do B / PTN / PRB / PSDC / PSC / PP";"953.079";"5";"1"
"";"";"";"1.936.819";"12";"161.402";"PROS";"7.391";"0";"0"
"";"";"";"1.936.819";"12";"161.402";"PCO";"851";"0";"0"
"";"";"";"1.936.819";"12";"161.402";"PTC";"792";"0";"0"
"";"";"";"1.936.819";"12";"161.402";"PSOL";"60.910";"0";"0"
"";"";"";"1.936.819";"12";"161.402";"PSB / DEM / PRTB / PDT / PRP / PV / PT / PSL / PC do B / PHS / PPL";"472.065";"2";"1"
"";"";"";"1.936.819";"12";"161.402";"PMDB";"441.731";"2";"1"
"Subtotal";"";"";"13.557.733";"84";"1.129.814";"";"1.936.819";"9";"3"
"";"";"PE";"4.483.227";"25";"179.329";"PSDC / PTN / PRP / PSL / PHS / PRTB";"237.830";"1";"0"
"";"";"";"4.483.227";"25";"179.329";"PSB / PMDB / PC do B / PV / PR / PSD / PPS / PSDB / SD / PPL / DEM / PROS / PP / PEN / PTC";"3.031.449";"16";"2"
"";"";"";"4.483.227";"25";"179.329";"PCB";"7.321";"0";"0"
"";"";"";"4.483.227";"25";"179.329";"PSOL / PMN";"26.051";"0";"0"
"";"";"";"4.483.227";"25";"179.329";"PSTU";"5.436";"0";"0"
"";"";"";"4.483.227";"25";"179.329";"PTB / PT / PSC / PDT / PRB / PT do B";"1.175.140";"6";"0"
"Subtotal";"";"";"26.899.362";"150";"1.075.974";"";"4.483.227";"23";"2"
"";"";"PI";"1.733.434";"10";"173.343";"PSTU";"3.492";"0";"0"
"";"";"";"1.733.434";"10";"173.343";"PT / PP / PTB / PHS / PR / PROS / PRP / SD";"784.868";"4";"1"
"";"";"";"1.733.434";"10";"173.343";"PMDB / PTN / PTC / PDT / PSB / PSD / PRB / DEM / PSDC / PT do B / PC do B / PPS / PSDB";"924.807";"5";"0"
"";"";"";"1.733.434";"10";"173.343";"PSOL / PCB";"5.497";"0";"0"
"";"";"";"1.733.434";"10";"173.343";"PSC";"1.985";"0";"0"
"";"";"";"1.733.434";"10";"173.343";"PCO";"0";"0";"0"
"";"";"";"1.733.434";"10";"173.343";"PV / PSL / PMN / PEN";"9.973";"0";"0"
"";"";"";"1.733.434";"10";"173.343";"PPL";"2.812";"0";"0"
"Subtotal";"";"";"13.867.472";"80";"1.386.744";"";"1.733.434";"9";"1"
"";"";"PR";"5.665.222";"30";"188.841";"PSDB / DEM / PR / PSC / PT do B / PP / SD / PSD / PPS";"2.601.709";"13";"2"
"";"";"";"5.665.222";"30";"188.841";"PT / PDT / PRB / PTN / PC do B";"1.109.905";"5";"1"
"";"";"";"5.665.222";"30";"188.841";"PSOL";"27.320";"0";"0"
"";"";"";"5.665.222";"30";"188.841";"PTC";"11.824";"0";"0"
"";"";"";"5.665.222";"30";"188.841";"PSB";"354.244";"1";"1"
"";"";"";"5.665.222";"30";"188.841";"PSTU";"5.713";"0";"0"
"";"";"";"5.665.222";"30";"188.841";"PSDC / PEN / PTB / PHS / PMN / PROS";"501.148";"2";"0"
"";"";"";"5.665.222";"30";"188.841";"PRP";"7.031";"0";"0"
"";"";"";"5.665.222";"30";"188.841";"PCB";"4.590";"0";"0"
"";"";"";"5.665.222";"30";"188.841";"PSL";"9.792";"0";"0"
"";"";"";"5.665.222";"30";"188.841";"PV / PPL";"280.767";"1";"0"
"";"";"";"5.665.222";"30";"188.841";"PMDB";"747.306";"3";"1"
"";"";"";"5.665.222";"30";"188.841";"PRTB";"3.873";"0";"0"
"Subtotal";"";"";"73.647.886";"390";"2.454.933";"";"5.665.222";"25";"5"
"";"";"RJ";"7.673.438";"46";"166.814";"PT do B";"77.477";"0";"0"
"";"";"";"7.673.438";"46";"166.814";"PMDB / PP / PSC / PSD / PTB";"2.760.181";"16";"3"
"";"";"";"7.673.438";"46";"166.814";"PDT";"227.702";"1";"0"
"";"";"";"7.673.438";"46";"166.814";"PSTU";"13.881";"0";"0"
"";"";"";"7.673.438";"46";"166.814";"PCB";"7.305";"0";"0"
"";"";"";"7.673.438";"46";"166.814";"SD / PSL";"362.622";"2";"0"
"";"";"";"7.673.438";"46";"166.814";"PSOL";"531.415";"3";"0"
"";"";"";"7.673.438";"46";"166.814";"PT / PSB / PC do B";"988.338";"5";"2"
"";"";"";"7.673.438";"46";"166.814";"PSDB / PPS / DEM";"401.119";"2";"0"
"";"";"";"7.673.438";"46";"166.814";"PV";"70.945";"0";"0"
"";"";"";"7.673.438";"46";"166.814";"PCO";"1.467";"0";"0"
"";"";"";"7.673.438";"46";"166.814";"PRB";"391.912";"2";"0"
"";"";"";"7.673.438";"46";"166.814";"PEN";"101.516";"0";"0"
"";"";"";"7.673.438";"46";"166.814";"PR / PROS";"1.232.315";"7";"1"
"";"";"";"7.673.438";"46";"166.814";"PSDC / PMN / PTC";"188.337";"1";"0"
