Nome Civil;Partido;Coligação;Situação;Votação;% Válidos;Alimentação do parlamentar;Aluguel de aeronaves;Aluguel de carros;Aluguel de embarcações;Assinatura de publicações;Combustíveis e lubrificantes;Consultorias, pesquisas e trabalhos técnicos;Cursos, palestras ou eventos;Divulgação de atividade parlamentar;Emissão de bilhete aéreo;Hospedagem fora do DF;Manutenção de escritório;Passagens aéreas;Passagens terrestres ou marítimas;Segurança particular;Serviços postais;Telefonia;Táxi, pedágio e estacionamento;Total CEAP;;ADMINISTRAÇÃO PÚBLICA;AGRICULTURA;ARTE E CULTURA;CIÊNCIA E TECNOLOGIA;COMUNICAÇÕES;COMÉRCIO EXTERIOR;DEFESA E SEGURANÇA NACIONAL;DESENVOLVIMENTO REGIONAL;DESENVOLVIMENTO URBANO E TRÂNSITO;DESPORTO E LAZER;DIREITO CIVIL E PROCESSUAL CIVIL;DIREITO CONSTITUCIONAL;DIREITO DO TRABALHO E PROCESSUAL DO TRABALHO;DIREITO E DEFESA DO CONSUMIDOR;DIREITO E JUSTIÇA;DIREITO PENAL E PROCESSUAL PENAL;DIREITOS HUMANOS;EDUCAÇÃO;FINANÇAS PÚBLICAS E ORÇAMENTO;HOMENAGENS E DATAS COMEMORATIVAS;INDÚSTRIA;INFORMÁTICA;MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;ORGANIZAÇÃO ADMINISTRATIVA DO ESTADO;ORGANIZAÇÃO POLÍTICA;POLÍTICA ECONÔMICA;POLÍTICA FUNDIÁRIA;PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PROCESSO LEGISLATIVO;RECURSOS HÍDRICOS;RELAÇÕES INTERNACIONAIS;SAÚDE;SEGURANÇA PÚBLICA;SISTEMA FINANCEIRO;TRABALHO E EMPREGO;TRIBUTAÇÃO;TURISMO;VIAÇÃO E TRANSPORTES;TOTAL PROPOSICAO;Profissao;Situacao na Legislatura Atual;Partido Atual;Nome para Urna;Numero;Sexo;Estado Civil;Ocupacao;Cor/Raça;Data Nasc.;Idade;Instrucao;Bens;UF;foto;Atuacao;Atuacao em meses
FERNANDO BEZERRA DE SOUZA COELHO FILHO;PSB;PSB / PMDB / PC do B / PV / PR / PSD / PPS / PSDB / SD / PPL / DEM / PROS / PP / PEN / PTC;Eleito por QP;112684;2.51;0.00;1994.26;9122.53;0.00;0.00;4903.35;2839.82;0.00;3670.07;11252.67;340.65;155.05;15.06;0.00;0.00;396.84;2885.74;0.00;37576.04;0.00;0.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.19;Administrador de Empresas;Em Exercício;PSB;FERNANDO FILHO;255.33;MASCULINO;Casado(a);Deputado;Branca;28/02/1984;33;Superior completo;1140034.91;PE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PE/foto/170000000068.jpg;1/2/2015 até 12/5/2016, 10/10/2016 até 11/10/2016, 25/10/2016 até 26/10/2016, 26/4/2017 até 27/4/2017, 2/8/2017 até 3/8/2017;15.67
AFONSO ANTUNES DA MOTTA;PDT;PDT / PSC / PV / PEN / DEM;Eleito por média;90917;1.53;1202.75;0.00;5713.18;0.00;0.00;4857.96;1931.12;0.00;6054.07;8591.50;647.44;4512.08;612.62;7.81;0.00;930.05;1854.46;618.50;37533.53;0.00;0.03;0.03;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.03;0.03;0.03;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.39;-;Em Exercício;PDT;AFONSO MOTTA;38.62;MASCULINO;Divorciado(a);Advogado;Branca;08/01/1950;67;Superior completo;19035011.69;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000224.jpg;1/2/2015 ...;31.07
ELVINO JOSE BOHN GASS;PT;PT;Eleito por QP;100841;1.7;146.35;0.00;4607.18;0.00;74.75;2848.03;1723.21;1.02;3796.46;14154.49;280.58;5085.75;382.33;782.50;0.00;20.57;3346.93;241.41;37491.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Agricultor Familiar, Professor de História;Em Exercício;PT;BOHN GASS;42.48;MASCULINO;Casado(a);Deputado;Branca;05/02/1962;55;Superior completo;297710.77;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000325.jpg;1/2/2015 ...;31.07
EDMILSON BRITO RODRIGUES;PSOL;PSOL / PSTU;Eleito por QP;170604;4.54;4.17;0.00;4550.57;0.00;155.90;1983.85;949.47;0.00;10984.71;15795.94;192.05;1869.34;346.17;0.00;0.00;66.50;559.32;0.00;37457.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.16;Professor(a);Em Exercício;PSOL;EDMILSON RODRIGUES;162.54;MASCULINO;Solteiro(a);Deputado;Branca;26/05/1957;60;Superior completo;261555.1;PA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PA/foto/140000000097.jpg;1/2/2015 ...;31.07
WALTER PEREIRA ALVES;PMDB;PMDB / PR / PSB / PROS / PDT / SD / PSC / DEM / PV / PMN / PRP / PSDB / PSDC / PRB;Eleito por QP;191064;12.09;78.46;0.00;3754.33;0.00;88.45;2998.42;10543.93;0.00;8416.48;7838.84;0.00;2842.80;0.00;0.00;0.00;116.79;718.55;0.00;37397.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.06;0.03;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.00;0.00;0.00;0.26;Administrador;Em Exercício;PMDB;WALTER ALVES;48.63;MASCULINO;Casado(a);Deputado;Branca;27/02/1980;37;Superior completo;1149736.31;RN;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RN/foto/200000000132.jpg;1/2/2015 ...;31.07
JOSE ORCIRIO MIRANDA DOS SANTOS;PT;PT / PR / PDT / PROS / PTC / PC do B / PTB / PSDC;Eleito por QP;160556;12.57;236.11;0.00;8783.39;0.00;0.00;3772.29;558.04;0.00;14530.76;4436.28;876.01;2110.75;31.82;1.76;0.21;416.89;1551.36;14.48;37320.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Bancário;Em Exercício;PT;ZECA DO PT;42.26;MASCULINO;Casado(a);Vereador;Branca;24/05/1950;67;Superior completo;2328491.91;MS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MS/foto/120000000500.jpg;1/2/2015 ...;31.07
JANETE MARIA GOES CAPIBERIBE;PSB;PSB / PT / PSOL / PC do B;Eleito por QP;21108;5.47;6.53;0.00;6651.63;0.00;0.00;2236.45;5007.40;0.00;11047.96;5591.15;62.43;2728.72;0.00;2.96;0.00;2361.65;1015.33;579.01;37291.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.06;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.23;-;Em Exercício;PSB;JANETE;130.03;FEMININO;Casado(a);Deputado;Parda;12/05/1949;68;Superior incompleto;175956.03;AP;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AP/foto/30000000462.jpg;1/2/2015 ...;31.07
MARCIO CARLOS MARINHO;PRB;DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC;Eleito por QP;117470;1.77;15.89;0.00;1509.55;0.00;0.00;2934.79;4732.74;0.00;11686.51;6524.94;116.30;6426.95;385.16;0.00;0.00;705.01;2164.96;27.27;37230.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.00;0.00;0.23;Radialista;Em Exercício;PRB;MÁRCIO MARINHO;32.51;MASCULINO;Casado(a);Deputado;Preta;12/12/1970;47;Superior completo;192709.71;BA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000672.jpg;1/2/2015 ...;31.07
ANDERSON FERREIRA RODRIGUES;PR;PSB / PMDB / PC do B / PV / PR / PSD / PPS / PSDB / SD / PPL / DEM / PROS / PP / PEN / PTC;Eleito por QP;150565;3.36;346.27;0.00;10287.18;0.00;0.00;4301.03;7008.14;0.00;835.83;5803.51;0.00;6504.55;254.63;0.00;0.00;213.72;1657.06;0.00;37211.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;-;Em Exercício;PR;ANDERSON FERREIRA;95.24;MASCULINO;Casado(a);Deputado;Branca;10/12/1972;45;Superior incompleto;1519393.26;PE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PE/foto/170000000041.jpg;1/2/2015 até 1/1/2017;23.33
JORGINHO DOS SANTOS MELLO;PR;PSD / PC do B / PV / PMDB / PR / PTB / PSC / PSDC / PROS / PRB / PDT / DEM;Eleito por QP;140839;4.17;38.37;0.00;2783.71;0.00;79.68;2751.90;0.00;0.00;10401.99;6419.65;872.46;9943.20;30.79;0.00;0.00;534.98;3286.58;0.00;37143.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.03;0.00;0.00;0.26;Advogado, Bancário;Em Exercício;PR;JORGINHO MELLO;71.55;MASCULINO;Divorciado(a);Deputado;Branca;15/07/1956;61;Superior completo;1105924.22;SC;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SC/foto/240000000224.jpg;1/2/2015 ...;31.07
JORGE WICKS CORTE REAL;PTB;PTB / PT / PSC / PDT / PRB / PT do B;Eleito por QP;86023;1.92;363.98;0.00;4252.40;0.00;0.00;4913.11;6791.12;0.00;7143.22;5284.76;67.27;6334.26;20.23;0.00;415.08;232.14;1291.05;0.00;37108.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.03;0.00;0.10;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.03;0.00;0.06;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.03;0.00;0.00;0.06;0.03;0.00;0.00;0.45;Engenheiro Civil;Em Exercício;PTB;JORGE CÔRTE REAL;45.41;MASCULINO;Casado(a);Outros;Branca;09/05/1951;66;Superior completo;14449563.79;PE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PE/foto/170000000603.jpg;1/2/2015 ...;31.07
LUIZ HILOSHI NISHIMORI;PR;PSDB / DEM / PR / PSC / PT do B / PP / SD / PSD / PPS;Eleito por QP;106852;1.89;276.82;0.00;7019.63;0.00;17.95;4636.08;1239.14;0.00;8190.86;6298.44;271.63;5392.85;276.22;0.00;96.24;699.75;2537.55;89.46;37042.62;0.00;0.03;0.03;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.10;0.03;0.03;0.00;0.00;0.00;0.00;0.03;0.06;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.03;0.06;0.00;0.00;0.00;0.03;0.00;0.00;0.61;-;Em Exercício;PR;LUIZ NISHIMORI;71.52;MASCULINO;Casado(a);Deputado;Branca;09/04/1949;68;Superior completo;1032656.59;PR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PR/foto/160000000181.jpg;1/2/2015 ...;31.07
JOAO FERNANDO PONTUAL COUTINHO;PSB;PSB / PMDB / PC do B / PV / PR / PSD / PPS / PSDB / SD / PPL / DEM / PROS / PP / PEN / PTC;Eleito por QP;120059;2.68;424.25;80.46;8694.24;0.00;56.76;3566.98;5146.44;0.00;5807.85;6857.23;404.33;3233.46;351.12;0.00;0.00;583.46;1821.72;11.14;37039.45;0.00;0.03;0.00;0.00;0.03;0.03;0.00;0.00;0.03;0.03;0.03;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.39;-;Em Exercício;PSB;JOAO FERNANDO COUTINHO;130.03;MASCULINO;Solteiro(a);Deputado;Parda;22/08/1979;38;Superior completo;1111854.64;PE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PE/foto/170000000035.jpg;1/2/2015 ...;31.07
DAVIDSON DE MAGALHAES SANTOS;PC do B;PP / PDT / PT / PTB / PR / PSD / PC do B;Suplente;65171;0.98;384.85;15.84;6740.84;0.00;0.00;3377.23;1606.93;0.00;11971.35;5869.99;241.34;3078.61;804.43;22.50;0.00;475.97;2278.70;130.97;36999.56;0.00;0.04;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.12;0.08;0.04;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.00;0.00;0.00;0.00;0.04;0.08;0.00;0.00;0.00;0.60;-;Suplência;PCdoB;DAVIDSON MAGALHÃES;262.18;MASCULINO;Viúvo(a);Servidor Público Estadual;Parda;07/11/1960;57;Superior completo;1208035.54;BA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000136.jpg;4/2/2015 até 7/7/2015, 9/7/2015 até 1/2/2016, 3/2/2016 até 25/7/2016, 1/1/2017 até 1/8/2017;24.83
IRAJA SILVESTRE FILHO;PSD;PMDB / PV / PT / PSD;Eleito por QP;62859;8.57;11.28;131.32;0.00;0.00;0.00;3131.02;3526.35;0.00;16620.53;5076.37;0.00;5085.70;650.24;0.00;0.00;698.96;2064.20;0.00;36995.97;0.00;0.06;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.10;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.29;Empresário, Produtor Rural;Em Exercício;PSD;IRAJÁ ABREU;177.34;MASCULINO;Casado(a);Deputado;Branca;03/02/1983;34;Superior completo;5750552.9;TO;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/TO/foto/270000000020.jpg;1/2/2015 ...;31.07
JONY MARCOS DE SOUZA ARAUJO;PRB;PT / PDT / PSB / PMDB / PC do B / PRP / PROS / PSD / PRB / PSDC;Eleito por QP;53455;5.08;157.30;0.00;8713.50;0.00;0.00;2287.33;9806.58;0.00;8959.16;6205.95;29.63;249.64;137.59;0.00;0.00;103.97;301.32;6.34;36958.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;Radialista;Em Exercício;PRB;PASTOR JONY;32.51;MASCULINO;Casado(a);Outros;Branca;30/09/1977;40;Superior incompleto;410000.0;SE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SE/foto/260000000197.jpg;1/2/2015 ...;31.07
JOSE DE ANDRADE MAIA FILHO;SD;PT / PP / PTB / PHS / PR / PROS / PRP / SD;Suplente;30419;1.75;1220.87;811.60;7251.87;0.00;0.00;5268.03;11072.35;0.00;3252.47;5605.08;283.56;117.51;477.01;0.00;0.00;68.82;1412.26;110.07;36951.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.04;0.37;-;Em Exercício;PP;MAINHA;285.60;MASCULINO;Casado(a);Empresário;Branca;31/07/1974;43;Superior completo;699500.0;PI;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PI/foto/180000000234.jpg;12/5/2015 até 6/7/2015, 8/7/2015 até 13/4/2016, 20/4/2016 até 18/10/2016, 24/10/2016 ...;27.23
JOSE ADAIL CARNEIRO SILVA;PHS;PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS;Eleito por QP;113885;2.61;384.20;5109.32;8709.63;0.00;0.00;4447.56;2531.65;0.00;9201.18;5518.58;0.00;285.56;106.00;0.00;0.00;150.90;446.94;36.28;36927.79;0.00;0.12;0.00;0.04;0.00;0.04;0.00;0.00;0.04;0.04;0.04;0.00;0.00;0.00;0.08;0.00;0.04;0.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.00;0.04;0.04;0.00;0.08;0.00;0.00;0.00;0.73;-;Em Exercício;PP;ADAIL CARNEIRO;120.10;MASCULINO;Solteiro(a);Empresário;Branca;11/07/1963;54;Ensino Médio completo;13180000.0;CE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/CE/foto/60000000788.jpg;1/2/2015 até 17/11/2015, 15/4/2016 ...;26.07
TEREZA CRISTINA CORREA DA COSTA DIAS;PSB;PMDB / PSB / PRB / PTN / PEN / PSC;Eleito por QP;75149;5.89;58.10;0.00;8464.76;0.00;34.13;2894.57;88.83;0.00;10671.69;6339.90;214.44;7273.63;301.28;0.00;0.00;91.72;469.50;18.12;36920.66;0.00;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.23;-;Em Exercício;PSB;TEREZA CRISTINA;130.03;FEMININO;Casado(a);Empresário;Branca;06/07/1954;63;Superior completo;10360.98;MS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MS/foto/120000000115.jpg;1/2/2015 ...;31.07
MARINHA CELIA ROCHA RAUPP DE MATOS;PMDB;PMDB / PRTB / PC do B / PDT / PRP / PSB / PTB / PSL / PTN;Eleito por QP;61419;7.69;31.53;2589.20;3159.91;0.00;0.00;2052.90;1159.82;0.00;4731.96;16261.07;1083.36;3408.43;99.70;112.77;0.00;101.65;2059.09;47.41;36898.8;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;Psicóloga, Técnica em Assuntos Educacionais, Professora e Servidora Pública;Em Exercício;PMDB;MARINHA RAUPP;48.76;FEMININO;Casado(a);Psicólogo;Branca;23/11/1960;57;Superior completo;2271194.02;RO;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RO/foto/220000000245.jpg;1/2/2015 ...;31.07
FERNANDO LUCIO GIACOBO;PR;PSDB / DEM / PR / PSC / PT do B / PP / SD / PSD / PPS;Eleito por QP;144305;2.55;0.00;10966.21;0.00;0.00;0.00;3464.32;1295.46;0.00;9578.53;8682.89;1143.71;130.86;43.00;0.00;0.00;162.71;1388.35;0.00;36856.04;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.26;Empresário;Em Exercício;PR;GIACOBO;70.81;MASCULINO;Solteiro(a);Deputado;Branca;17/12/1970;47;Superior completo;2354016.24;PR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PR/foto/160000000179.jpg;1/2/2015 ...;31.07
DARCI POMPEO DE MATTOS;PDT;PDT / PSC / PV / PEN / DEM;Eleito por QP;91849;1.55;1218.44;0.00;6441.44;0.00;42.09;3733.01;11.26;0.00;13204.93;5113.52;192.29;2855.08;139.89;0.00;0.33;1052.43;2692.77;154.59;36852.07;0.00;0.35;0.06;0.06;0.00;0.00;0.00;0.00;0.00;0.19;0.06;0.19;0.00;0.00;0.23;0.03;0.45;0.29;0.26;0.00;0.13;0.10;0.00;0.03;0.00;0.39;0.00;0.00;0.19;0.00;0.03;0.00;0.26;0.03;0.03;0.10;0.16;0.00;0.03;3.67;Advogado e Bancário;Em Exercício;PDT;POMPEO DE MATTOS;39.01;MASCULINO;Solteiro(a);Bancário e Economiário;Branca;12/07/1958;59;Superior completo;2202734.91;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000281.jpg;1/2/2015 ...;31.07
HENRIQUE FONTANA JUNIOR;PT;PT;Eleito por QP;128981;2.17;291.01;0.00;3194.00;0.00;172.27;3141.34;280.72;0.00;2838.97;12263.84;1257.29;5066.22;0.00;52.27;0.00;2562.95;5242.14;482.11;36845.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Médico e Administrador de Empresas;Em Exercício;PT;HENRIQUE FONTANA;42.26;MASCULINO;Casado(a);Deputado;Branca;18/01/1960;57;Superior completo;856456.01;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000328.jpg;1/2/2015 ...;31.07
PAULO VELLOSO DANTAS AZI;DEM;DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC;Eleito por QP;110662;1.66;393.82;446.73;6955.26;0.00;0.00;2075.92;8229.62;0.00;12487.93;4679.29;68.50;501.89;0.00;0.00;0.00;159.33;833.13;0.35;36831.77;0.00;0.00;0.03;0.03;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.16;Administrador de Empresas,Engenheiro Civil;Em Exercício;DEM;PAULO AZI;81.30;MASCULINO;Casado(a);Deputado;Branca;14/01/1963;54;Superior completo;1456522.41;BA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000637.jpg;1/2/2015 ...;31.07
RODRIGO RODRIGUES DE SOUZA MARTINS;PSB;PMDB / PTN / PTC / PDT / PSB / PSD / PRB / DEM / PSDC / PT do B / PC do B / PPS / PSDB;Eleito por QP;92349;5.33;0.00;3022.21;7788.86;0.00;15.41;3512.85;8554.88;0.00;7318.96;5887.68;0.00;5.57;112.29;0.00;0.00;75.81;534.80;0.00;36829.34;0.00;0.10;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.03;0.00;0.03;0.00;0.00;0.10;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.03;0.00;0.00;0.03;0.00;0.00;0.00;0.42;Cirurgião-Dentista;Em Exercício;PSB;RODRIGO;130.06;MASCULINO;Casado(a);Odontólogo;Branca;02/08/1982;35;Superior completo;263999.54;PI;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PI/foto/180000000064.jpg;1/2/2015 ...;31.07
ANDRE LUIS DANTAS FERREIRA;PSC;PP / PTB / PSL / PSC / PR / PPS / DEM / PHS / PTC / PV / PSDB / PEN / PT do B / SD;Eleito por QP;71523;6.79;12.53;0.00;1126.49;0.00;0.00;806.06;835.21;0.00;23167.93;9298.47;0.00;0.00;120.51;0.00;0.00;108.39;1318.97;0.00;36794.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.06;0.00;0.00;0.00;0.10;Político;Em Exercício;PSC;ANDRE MOURA;64.37;MASCULINO;Casado(a);Deputado;Branca;23/02/1972;45;Superior incompleto;963317.53;SE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SE/foto/260000000099.jpg;1/2/2015 ...;31.07
MARIA DO ROSARIO NUNES;PT;PT;Eleito por QP;127919;2.15;56.54;0.00;4084.19;0.00;168.99;3719.95;2006.14;0.00;4854.43;10039.05;206.14;7378.16;428.91;208.46;0.00;509.41;2965.52;156.27;36782.15;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.26;Professora;Em Exercício;PT;MARIA DO ROSÁRIO;44.09;FEMININO;Divorciado(a);Professor de Ensino Médio;Branca;22/11/1966;51;Superior completo;401061.16;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000334.jpg;1/2/2015 ...;31.07
