Nome,Nome para Urna,Numero,Partido,Coligação,Situação,Votação,% Válidos,Sexo,Estado Civil,Ocupacao,Cor/Raça,Data Nasc.,Idade,Instrucao,Bens,UF,foto
ARNALDO CALIL PEREIRA JARDIM,ARNALDO JARDIM,2345,PPS,PSDB / DEM / PPS,Eleito por QP,155.278,"0,73",MASCULINO,Divorciado(a),Deputado,Branca,08/05/1955,62,Superior completo,"1995345,51",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001357.jpg
ANTONIO DUARTE NOGUEIRA JUNIOR,DUARTE NOGUEIRA,4545,PSDB,PSDB / DEM / PPS,Eleito por QP,254.051,"1,19",MASCULINO,Divorciado(a),Engenheiro,Branca,16/05/1964,53,Superior completo,"1659920,93",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001323.jpg
EDSON EDINHO COELHO ARAUJO,EDINHO ARAUJO,1523,PMDB,PMDB / PROS / PP / PSD,Eleito por QP,112.780,"0,53",MASCULINO,Casado(a),Deputado,Branca,30/07/1949,68,Superior completo,"1618559,29",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000002139.jpg
ANTONIO FLORIANO PEREIRA PESARO,FLORIANO PESARO,4544,PSDB,PSDB / DEM / PPS,Eleito por média,113.949,"0,54",MASCULINO,Casado(a),Vereador,Branca,14/04/1968,49,Superior completo,"751099,24",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001320.jpg
RODRIGO GARCIA,RODRIGO GARCIA,2525,DEM,PSDB / DEM / PPS,Eleito por QP,336.151,"1,58",MASCULINO,Casado(a),Deputado,Branca,10/05/1974,43,Superior completo,"3695834,69",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001402.jpg
SAMUEL MOREIRA DA SILVA JUNIOR,SAMUEL MOREIRA,4580,PSDB,PSDB / DEM / PPS,Eleito por QP,227.210,"1,07",MASCULINO,Casado(a),Deputado,Branca,09/02/1963,54,Superior completo,"872385,60",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001353.jpg
WILLIAM BOSS WOO,WILLIAM WOO,4300,PV,PV,Suplente,54.186,"0,25",MASCULINO,Casado(a),Policial Civil,Amarela,27/02/1968,49,Superior completo,"3329728,75",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000989.jpg
JOSE LUIZ DE FRANCA PENNA,PENNA,4343,PV,PV,Suplente,52.437,"0,25",MASCULINO,Casado(a),Músico,Branca,27/12/1945,72,Ensino Médio completo,"170404,02",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000941.jpg
ADILTON DOMINGOS SACHETTI,ADILTON SACHETTI,4045,PSB,PDT / PP / DEM / PSDB / PSB / PPS / PTB / PSC / PSL / PRB,Eleito por QP,112.722,"7,75",MASCULINO,Casado(a),Produtor Agropecuário,Branca,05/02/1956,61,Superior completo,"5687705,96",MT,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MT/foto/110000000541.jpg
CARLOS GOMES BEZERRA,CARLOS BEZERRA,1515,PMDB,PT / PMDB / PROS / PR,Eleito por QP,95.739,"6,58",MASCULINO,Casado(a),Deputado,Parda,04/11/1941,76,Superior completo,"2137746,28",MT,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MT/foto/110000000304.jpg
