idecadastro,Legislatura,Nome,Nome Parlamentar,Profissao,Situacao na Legislatura Atual,Sexo,UF,Partido
178919,55,MARINALDO ROSENDO DE ALBUQUERQUE,MARINALDO ROSENDO,Empresário,Em Exercício,M,PE,PP
74177,55,MARINHA CÉLIA ROCHA RAUPP DE MATOS,MARINHA RAUPP,"Professor, Profissional técnico, Psicólogo, Servidor Público",Em Exercício,F,RO,MDB
74158,55,MÁRIO LÚCIO HERINGER,MÁRIO HERINGER,"Administrador, Médico",Em Exercício,M,MG,PDT
178858,55,MARIO SILVIO MENDES NEGROMONTE JUNIOR,MÁRIO NEGROMONTE JR.,Advogado,Em Exercício,M,BA,PP
74749,55,MAURO RIBEIRO LOPES,MAURO LOPES,"Advogado, Empresário",Em Exercício,M,MG,MDB
141507,55,MAURO MARIANI,MAURO MARIANI,Administrador,Em Exercício,M,SC,MDB
124411,55,MAURO PEREIRA,MAURO PEREIRA,-,Suplência,M,RS,MDB
74428,55,JOSÉ MENDONÇA BEZERRA FILHO,MENDONÇA FILHO,Administrador,Em Exercício,M,PE,DEM
178984,55,MIGUEL MOUBADDA HADDAD,MIGUEL HADDAD,Advogado,Em Exercício,M,SP,PSDB
178985,55,MIGUEL LOMBARDI,MIGUEL LOMBARDI,Corretor,Em Exercício,M,SP,PR
74787,55,MILTON ANTONIO CASQUEL MONTI,MILTON MONTI,"Economista, Empresário",Em Exercício,M,SP,PR
74862,55,MIRO TEIXEIRA,MIRO TEIXEIRA,"Advogado, Jornalista",Em Exercício,M,RJ,REDE
178895,55,MISAEL ARTUR FERREIRA VARELLA,MISAEL VARELLA,Empresário,Em Exercício,M,MG,PSD
160561,55,JOSÉ OLIMPIO SILVEIRA MORAES,MISSIONÁRIO JOSÉ OLIMPIO,Comerciário,Em Exercício,M,SP,DEM
178859,55,MOEMA ISABEL PASSOS GRAMACHO,MOEMA GRAMACHO,"Biólogo, Químico",Vacância,F,BA,PT
195278,55,MOISES DINIZ LIMA,MOISÉS DINIZ,-,Suplência,M,AC,PCdoB
178997,55,MOSES HAENDEL MELO RODRIGUES,MOSES RODRIGUES,"Administrador, Professor, Professor",Em Exercício,M,CE,MDB
160567,55,NELSON MARCHEZAN JÚNIOR,NELSON MARCHEZAN JUNIOR,Advogado,Vacância,M,RS,PSDB
73553,55,NELSON MARQUEZELLI,NELSON MARQUEZELLI,"Agricultor, Empresário",Em Exercício,M,SP,PTB
73781,55,NELSON MEURER,NELSON MEURER,Agropecuarista,Em Exercício,M,PR,PP
193069,55,NELSON NAHIM MATHEUS DE OLIVEIRA,NELSON NAHIM ,-,Suplência,M,RJ,PSD
